EmployeeNumber,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,DateBirth,RemoteWork,SatisfactionLevel
1171,42,No,Travel_Rarely, Sales ,4,4,Marketing,2,Male,3,2, Sales Executive ,1,Single,5155,2253,7,No,13,3,4,0,Unknown,3,3,6,1,5,1981,No,B
1200,44,Yes,Travel_Rarely,Unknown,10,4,Unknown,3,Male,3,1, Research Scientist ,3,Single,2936,10826,1,Yes,11,3,3,0,6,4,3,6,0,2,1979,No,A
1202,29,No,Travel_Rarely,Unknown,15,1,Unknown,2,Female,1,1, Research Scientist ,4,Married,6477,26933,0,Yes,18,3,1,1,6,2,2,5,1,3,1994,No,A
1245,54,No,Travel_Frequently,Unknown,1,4,Unknown,4,Female,3,3, Manufacturing Director ,3,Unknown,6477,9659,7,No,17,3,1,1,33,2,1,5,1,4,1969,No,A
1280,46,No,Travel_Rarely, Sales ,4,2,Unknown,4,Female,2,5, Manager ,2,Married,18789,9946,2,No,14,3,3,1,Unknown,2,3,11,0,8,1977,Yes,B
1309,32,Yes,Travel_Rarely,Unknown,7,2,Life Sciences,4,Male,3,2, Laboratory Technician ,3,Unknown,4883,22845,1,No,18,3,1,1,Unknown,3,3,10,1,1,1991,Yes,A
1374,34,No,Non-Travel,Unknown,26,1,Unknown,1,Female,2,1, Research Scientist ,3,Divorced,2029,15891,1,No,20,4,3,3,5,2,3,5,0,0,1989,Yes,A
1390,39,No,Travel_Rarely, Sales ,21,4,Unknown,1,Male,2,2, Sales Executive ,4,Married,6477,3567,3,No,12,3,4,2,8,2,4,5,1,4,1984,No,A
1395,33,No,Travel_Rarely, Sales ,41,1,Life Sciences,3,Male,3,2, Sales Executive ,4,Married,6477,19293,6,No,13,3,1,0,8,2,4,5,1,2,1990,Yes,A
1397,39,No,Non-Travel, Research & Development ,25,2,Unknown,3,Male,3,3, Healthcare Representative ,3,Unknown,6477,3449,3,No,21,4,2,1,13,2,3,6,0,5,1984,No,A
1409,52,No,Travel_Rarely,Unknown,8,4,Other,3,Female,3,1, Laboratory Technician ,1,Married,6477,17363,9,No,13,3,3,0,12,2,1,5,0,4,1971,Yes,B
1425,36,No,Travel_Rarely,Unknown,3,4,Unknown,1,Female,3,2, Sales Executive ,2,Single,9278,20763,3,Yes,16,3,4,0,15,3,3,5,0,1,1987,Yes,B
1435,36,No,Travel_Rarely,Unknown,47,4,Life Sciences,3,Male,2,2, Laboratory Technician ,4,Single,6477,22604,1,No,16,3,3,0,10,2,2,10,1,8,1987,Yes,A
1445,24,No,Travel_Rarely,Unknown,4,1,Unknown,4,Female,3,2, Sales Executive ,3,Married,4162,15211,1,Yes,12,3,3,2,Unknown,3,3,5,0,3,1999,Yes,A
1469,28,No,Travel_Rarely, Sales ,5,3,Unknown,4,Male,3,2, Sales Executive ,1,Single,6477,23490,0,No,18,3,4,0,Unknown,4,3,5,1,3,1995,Yes,B
1503,47,No,Travel_Rarely,Unknown,14,3,Medical,3,Female,3,2, Sales Executive ,3,Married,6477,24200,3,No,17,3,3,1,Unknown,4,2,5,1,2,1976,Yes,A
1534,40,Yes,Travel_Rarely,Unknown,9,4,Life Sciences,4,Male,3,1, Laboratory Technician ,1,Single,6477,21831,3,No,14,3,2,0,15,3,1,5,1,0,1983,No,B
1546,45,No,Travel_Rarely,Unknown,49,3,Technical Degree,3,Male,3,1, Research Scientist ,4,Married,6477,4585,4,No,20,4,4,1,Unknown,3,3,5,0,3,1978,Yes,A
1548,40,No,Travel_Rarely,Unknown,9,2,Unknown,1,Male,3,2, Sales Executive ,1,Unknown,6477,19345,0,No,12,3,4,0,Unknown,5,4,8,7,1,1983,Yes,B
1598,40,No,Travel_Rarely,Unknown,14,2,Life Sciences,4,Female,3,2, Sales Executive ,1,Married,6477,11262,1,No,15,3,3,1,5,2,3,5,1,2,1983,Yes,B
1599,43,No,Travel_Rarely,Unknown,27,3,Unknown,4,Male,4,1, Laboratory Technician ,2,Divorced,4876,5855,5,No,12,3,3,1,Unknown,0,3,6,0,2,1980,No,B
1609,30,No,Travel_Rarely,Unknown,7,3,Unknown,2,Male,2,1, Research Scientist ,2,Unknown,2141,5348,1,No,12,3,2,1,6,3,2,6,1,1,1993,Yes,B
1638,38,No,Travel_Rarely, Research & Development ,2,2,Unknown,4,Female,2,3, Manufacturing Director ,3,Unknown,7756,14199,3,No,19,3,4,1,10,6,4,5,0,2,1985,Yes,A
1640,37,No,Travel_Rarely, Research & Development ,10,3,Unknown,2,Female,3,1, Research Scientist ,2,Married,3936,9953,1,No,11,3,1,1,8,2,1,8,7,7,1986,No,B
1664,36,No,Travel_Rarely, Research & Development ,11,2,Life Sciences,3,Male,4,2, Healthcare Representative ,1,Divorced,6842,26308,6,No,20,4,1,1,13,3,3,5,0,4,1987,Yes,B
1684,23,Yes,Travel_Rarely,Unknown,8,1,Medical,4,Male,2,1, Laboratory Technician ,3,Single,3989,20586,1,No,11,3,1,0,5,2,3,5,1,2,2000,Yes,A
1704,35,No,Travel_Rarely,Unknown,2,4,Unknown,1,Male,2,1, Research Scientist ,4,Unknown,4930,13970,0,Yes,14,3,3,0,6,2,4,5,1,4,1988,Yes,A
1736,31,No,Travel_Frequently,Unknown,24,1,Technical Degree,4,Female,3,2, Manufacturing Director ,4,Single,6477,6670,2,No,20,4,4,0,9,3,2,5,1,4,1992,Yes,A
1782,38,No,Travel_Rarely, Research & Development ,6,2,Other,4,Female,2,1, Laboratory Technician ,3,Married,3702,16376,1,No,11,3,2,1,5,3,3,5,0,4,1985,Yes,A
1826,35,No,Travel_Rarely,Unknown,23,4,Medical,2,Male,1,1, Laboratory Technician ,3,Married,2705,9696,0,No,16,3,2,1,6,2,4,5,0,3,1988,Yes,A
1850,27,No,Travel_Frequently, Research & Development ,48,2,Unknown,3,Female,3,1, Laboratory Technician ,4,Single,2379,19826,0,Yes,14,3,3,0,6,3,2,5,0,2,1996,Yes,A
1909,41,No,Travel_Rarely,Unknown,8,3,Unknown,3,Female,3,2, Sales Executive ,2,Unknown,6477,26841,5,No,21,4,3,1,14,3,3,5,1,4,1982,Yes,B
1924,33,No,Travel_Rarely,Unknown,15,4,Marketing,2,Male,3,2, Sales Executive ,3,Single,5487,10410,1,No,14,3,2,0,Unknown,2,2,10,0,9,1990,No,A
1941,49,No,Travel_Rarely,Unknown,2,1,Life Sciences,2,Male,3,5, Research Director ,4,Married,6477,13738,3,No,15,3,4,0,28,3,3,5,4,3,1974,No,A
1949,36,No,Non-Travel,Unknown,9,4,Unknown,1,Male,4,1, Laboratory Technician ,2,Unknown,2810,9238,1,No,22,4,2,0,5,3,3,5,0,2,1987,Yes,B
27,36,Yes,Travel_Rarely,Unknown,9,4,Life Sciences,3,Male,2,1, Sales Representative ,1,Single,6477,6986,7,No,23,4,2,0,Unknown,4,3,5,0,3,1987,No,B
46,43,No,Travel_Rarely,Unknown,2,2,Medical,4,Female,4,1, Research Scientist ,3,Unknown,6477,21923,1,No,12,3,4,2,6,3,2,5,1,4,1980,No,A
52,33,No,Travel_Frequently,Unknown,18,3,Life Sciences,3,Female,4,2, Sales Executive ,1,Married,6477,3193,2,No,19,3,1,2,Unknown,3,3,5,1,3,1990,No,B
68,44,No,Travel_Rarely, Sales ,1,5,Marketing,2,Female,3,2, Sales Executive ,1,Unknown,5454,4009,5,No,21,4,3,1,9,2,2,4,1,3,1979,No,B
79,38,No,Travel_Rarely,Unknown,29,5,Life Sciences,4,Female,3,2, Laboratory Technician ,4,Single,6477,5456,1,No,11,3,4,0,10,2,3,10,9,9,1985,Yes,A
80,50,No,Travel_Rarely,Unknown,7,2,Medical,2,Female,2,5, Research Director ,3,Divorced,18740,16701,5,No,12,3,4,1,Unknown,2,2,27,13,8,1973,No,A
91,59,No,Travel_Frequently,Unknown,1,1,Unknown,1,Female,2,2, Sales Executive ,3,Single,5473,24668,7,No,11,3,4,0,20,2,2,4,1,3,1964,No,A
119,40,No,Travel_Frequently,Unknown,1,4,Life Sciences,3,Male,2,4, Healthcare Representative ,2,Married,13503,14115,1,No,22,4,4,1,22,3,2,22,11,11,1983,No,B
126,54,No,Travel_Rarely,Unknown,2,4,Technical Degree,1,Female,3,3, Research Director ,3,Unknown,13549,24001,9,No,12,3,1,1,16,5,1,4,0,3,1969,No,A
148,54,No,Non-Travel,Unknown,26,3,Unknown,4,Female,4,4, Manager ,4,Single,6477,13871,2,No,12,3,3,0,Unknown,3,3,5,4,4,1969,Yes,A
150,24,No,Travel_Rarely,Unknown,18,1,Life Sciences,2,Male,3,1, Laboratory Technician ,3,Married,2774,13257,0,No,12,3,3,1,Unknown,2,3,5,1,2,1999,Yes,A
198,30,No,Travel_Rarely,Unknown,2,1,Unknown,2,Male,2,1, Laboratory Technician ,4,Single,6477,11162,0,No,13,3,4,0,6,3,3,5,1,2,1993,Yes,A
216,34,No,Travel_Frequently,Unknown,10,4,Unknown,3,Female,3,1, Sales Representative ,3,Unknown,6477,11314,6,No,18,3,4,1,Unknown,3,3,4,1,2,1989,No,A
230,38,No,Travel_Rarely,Unknown,1,4,Life Sciences,1,Female,2,2, Sales Executive ,4,Single,6477,12930,4,No,22,3,3,0,12,2,4,8,0,7,1985,No,A
270,42,No,Travel_Rarely,Unknown,21,2,Unknown,3,Female,3,2, Manufacturing Director ,3,Divorced,5265,16439,2,No,16,3,2,1,11,5,3,5,0,2,1981,No,A
277,34,No,Travel_Rarely,Unknown,10,4,Unknown,4,Male,3,1, Research Scientist ,3,Divorced,3815,5972,1,Yes,17,3,4,1,Unknown,4,4,5,2,0,1989,Yes,A
299,30,Yes,Travel_Rarely,Unknown,26,4,Unknown,3,Female,2,2, Sales Executive ,1,Unknown,6477,22967,5,No,15,3,3,0,9,5,2,6,0,1,1993,Yes,B
315,29,Yes,Travel_Rarely,Unknown,13,1,Medical,3,Male,2,1, Research Scientist ,4,Single,2389,14961,1,No,13,3,3,0,4,3,3,4,0,1,1994,Yes,A
330,32,No,Travel_Rarely,Unknown,4,2,Unknown,3,Female,3,1, Sales Representative ,2,Married,6477,20990,2,No,11,3,1,1,Unknown,5,3,4,1,2,1991,No,B
369,25,No,Travel_Rarely,Unknown,5,2,Life Sciences,2,Male,4,2, Healthcare Representative ,1,Unknown,4000,18384,1,No,12,3,4,2,6,2,3,6,1,5,1998,Yes,B
386,53,No,Travel_Rarely,Unknown,3,4,Unknown,3,Male,3,4, Research Director ,3,Married,17584,21016,3,Yes,16,3,4,3,21,5,2,5,1,3,1970,Yes,A
390,26,No,Travel_Rarely, Research & Development ,11,2,Medical,1,Male,3,2, Healthcare Representative ,1,Married,6477,22722,1,No,13,3,3,1,5,3,3,5,3,3,1997,Yes,B
412,28,No,Travel_Rarely,Unknown,16,2,Medical,2,Male,4,2, Healthcare Representative ,1,Single,5661,4824,0,No,19,3,3,0,9,2,3,8,0,7,1995,Yes,B
422,58,No,Travel_Rarely, Research & Development ,1,4,Life Sciences,4,Male,1,2, Healthcare Representative ,3,Divorced,6477,17056,2,Yes,13,3,4,1,Unknown,2,3,5,1,2,1965,Yes,A
434,27,No,Travel_Rarely,Unknown,5,3,Unknown,3,Female,3,1, Research Scientist ,2,Single,6477,20938,1,No,12,3,2,0,4,2,3,4,1,2,1996,Yes,B
450,54,No,Travel_Frequently,Unknown,20,4,Life Sciences,4,Female,3,2, Research Scientist ,3,Unknown,4869,16885,3,No,12,3,4,0,20,4,2,4,0,3,1969,No,A
469,29,No,Non-Travel,Unknown,2,3,Life Sciences,4,Male,3,2, Sales Executive ,3,Unknown,4649,16928,1,No,14,3,1,1,Unknown,3,2,4,0,2,1994,Yes,A
491,50,No,Travel_Rarely,Unknown,10,3,Unknown,4,Male,2,3, Healthcare Representative ,4,Unknown,10496,2755,6,No,15,3,4,0,20,2,3,4,1,3,1973,No,A
554,24,Yes,Travel_Rarely,Unknown,1,1,Technical Degree,1,Female,3,1, Sales Representative ,2,Single,6477,21972,1,Yes,16,3,2,0,6,4,3,5,1,4,1999,Yes,B
579,34,No,Travel_Rarely,Unknown,2,4,Unknown,4,Male,2,1, Research Scientist ,3,Unknown,2768,8416,3,No,12,3,3,1,14,3,3,7,5,7,1989,Yes,A
592,36,No,Non-Travel,Unknown,30,4,Medical,2,Male,3,3, Sales Executive ,4,Single,6477,15318,1,No,14,3,4,0,Unknown,3,2,10,9,7,1987,Yes,A
599,41,No,Non-Travel, Sales ,10,2,Unknown,4,Male,3,2, Sales Executive ,4,Single,6477,13430,7,No,14,3,4,0,Unknown,3,3,14,1,10,1982,Yes,A
641,26,No,Travel_Rarely,Unknown,28,2,Marketing,1,Male,3,2, Sales Executive ,2,Married,6477,7428,1,No,20,4,4,2,Unknown,5,4,5,1,4,1997,Yes,B
655,27,No,Travel_Rarely, Research & Development ,6,4,Unknown,1,Female,2,1, Research Scientist ,3,Divorced,2187,5013,0,No,12,3,3,2,6,5,2,5,0,3,1996,Yes,A
667,27,Yes,Travel_Rarely,Unknown,2,1,Marketing,3,Male,3,1, Sales Representative ,1,Divorced,6477,16346,0,No,11,3,2,1,5,3,3,4,0,2,1996,Yes,B
758,23,No,Travel_Rarely,Unknown,49,1,Unknown,2,Male,3,1, Laboratory Technician ,1,Unknown,6477,4344,1,No,14,3,4,1,5,2,4,4,0,2,2000,Yes,B
760,39,No,Travel_Rarely,Unknown,24,3,Unknown,3,Female,4,2, Human Resources ,2,Unknown,6477,18767,9,No,15,3,3,1,Unknown,3,1,8,3,6,1984,No,B
791,52,No,Non-Travel,Unknown,19,4,Medical,4,Male,3,1, Research Scientist ,4,Unknown,4258,26589,0,No,18,3,1,1,Unknown,3,3,4,1,2,1971,Yes,A
796,26,Yes,Travel_Rarely,Unknown,8,3,Unknown,4,Male,2,2, Sales Executive ,1,Single,5326,3064,6,No,17,3,3,0,Unknown,2,2,4,1,2,1997,Yes,B
799,54,No,Travel_Rarely,Unknown,19,4,Unknown,4,Female,3,2, Manufacturing Director ,1,Divorced,5485,22670,9,Yes,11,3,2,2,Unknown,4,3,5,1,4,1969,Yes,B
815,50,No,Travel_Rarely, Research & Development ,2,3,Unknown,3,Male,3,4, Research Director ,3,Unknown,17639,6881,5,No,16,3,4,0,Unknown,3,3,4,0,3,1973,No,A
827,42,No,Travel_Rarely,Unknown,1,2,Life Sciences,4,Female,2,2, Manufacturing Director ,4,Married,6062,4051,9,No,13,3,4,1,8,4,3,4,0,2,1981,No,A
865,32,No,Travel_Rarely,Unknown,8,2,Unknown,3,Female,4,2, Research Scientist ,3,Married,6477,22162,5,No,12,3,3,1,9,3,2,5,1,3,1991,Yes,A
894,42,No,Travel_Rarely,Unknown,3,3,Unknown,3,Female,4,2, Laboratory Technician ,4,Married,6477,23726,2,Yes,13,3,2,1,17,1,2,5,1,3,1981,Yes,A
983,38,No,Non-Travel,Unknown,10,3,Unknown,3,Female,3,2, Sales Executive ,4,Unknown,5666,19899,1,Yes,13,3,2,0,6,1,3,5,1,3,1985,Yes,A
996,45,No,Travel_Rarely, Research & Development ,1,4,Unknown,4,Female,3,1, Laboratory Technician ,4,Divorced,6477,11005,3,No,14,3,4,2,8,2,3,5,0,2,1978,No,A
1011,31,No,Travel_Frequently,Unknown,1,1,Unknown,3,Female,3,2, Manufacturing Director ,1,Unknown,6477,11275,1,No,12,3,3,1,4,1,3,4,0,3,1992,No,B
1019,22,No,Travel_Rarely, Research & Development ,8,1,Life Sciences,2,Male,1,1, Laboratory Technician ,1,Unknown,6477,6881,1,No,15,3,1,1,4,3,2,4,1,1,2001,Yes,B
1032,59,No,Travel_Rarely,Unknown,2,3,Unknown,3,Female,2,4, Manufacturing Director ,4,Unknown,13726,21829,3,No,13,3,1,0,Unknown,4,3,5,4,3,1964,No,A
1045,45,No,Travel_Rarely, Sales ,11,2,Unknown,4,Female,3,4, Manager ,4,Married,6477,5404,3,No,13,3,2,1,26,4,4,9,1,1,1978,No,A
1049,45,No,Travel_Rarely,Unknown,24,4,Unknown,2,Male,3,1, Human Resources ,2,Unknown,6477,8318,1,No,16,3,1,0,Unknown,3,3,6,0,4,1978,Yes,B
1068,26,No,Travel_Rarely,Unknown,26,1,Medical,1,Female,2,1, Research Scientist ,3,Unknown,6477,25265,1,No,13,3,3,2,Unknown,5,3,5,1,3,1997,No,A
1136,28,No,Travel_Rarely,Unknown,42,1,Unknown,3,Male,2,1, Research Scientist ,2,Married,6477,19911,0,No,17,3,1,0,Unknown,2,1,5,0,4,1995,Yes,B
1179,30,No,Travel_Rarely,Unknown,10,3,Marketing,3,Male,2,2, Sales Executive ,3,Married,6477,2706,1,No,18,3,1,1,Unknown,3,3,10,1,4,1993,No,A
1188,43,Yes,Travel_Rarely,Unknown,9,3,Unknown,1,Female,1,2, Sales Executive ,3,Single,6477,9489,8,No,13,3,2,0,7,2,2,4,1,3,1980,Yes,A
1211,30,No,Travel_Rarely,Unknown,29,4,Life Sciences,3,Male,3,2, Sales Executive ,1,Divorced,4115,13192,8,No,19,3,3,3,8,3,3,4,0,3,1993,No,B
1228,46,No,Travel_Rarely,Unknown,2,4,Technical Degree,4,Male,3,2, Manufacturing Director ,4,Divorced,6477,17433,2,No,11,3,3,1,Unknown,3,2,6,1,4,1977,Yes,A
1231,42,No,Non-Travel, Human Resources ,2,5,Unknown,4,Male,4,2, Human Resources ,1,Married,6272,12858,7,No,16,3,1,1,Unknown,3,4,4,0,3,1981,Yes,B
1259,27,No,Travel_Rarely,Unknown,4,2,Unknown,1,Male,3,1, Research Scientist ,3,Divorced,2517,3208,1,No,11,3,2,3,Unknown,2,3,5,0,3,1996,Yes,A
1338,56,No,Travel_Rarely,Unknown,8,4,Life Sciences,4,Male,3,5, Manager ,2,Single,6477,4022,6,No,14,3,1,0,36,4,3,7,7,7,1967,No,B
1349,41,No,Travel_Frequently, Sales ,1,3,Marketing,3,Female,3,2, Sales Executive ,1,Unknown,6477,4297,0,No,17,3,4,1,Unknown,2,3,9,1,7,1982,Yes,B
1387,28,No,Travel_Rarely,Unknown,26,3,Life Sciences,3,Male,2,2, Sales Executive ,1,Married,6477,24232,1,No,11,3,3,1,5,0,3,5,0,4,1995,Yes,B
1401,52,No,Travel_Frequently,Unknown,28,2,Unknown,4,Female,4,4, Manufacturing Director ,3,Married,6477,9731,2,No,11,3,2,1,Unknown,3,2,5,0,2,1971,Yes,A
1407,26,No,Travel_Rarely,Unknown,2,1,Medical,1,Male,2,1, Research Scientist ,4,Single,3904,4050,0,No,12,3,4,0,5,2,3,4,1,1,1997,Yes,A
1420,49,Yes,Travel_Frequently,Unknown,28,2,Unknown,1,Male,2,2, Laboratory Technician ,1,Unknown,6477,22710,3,No,20,4,1,0,20,2,3,4,1,3,1974,Yes,B
1431,34,No,Travel_Frequently,Unknown,1,4,Other,4,Male,3,1, Research Scientist ,1,Unknown,6477,20284,5,No,14,3,3,2,10,2,3,4,1,3,1989,Yes,B
1446,32,No,Travel_Rarely,Unknown,7,5,Marketing,4,Male,3,2, Sales Executive ,4,Unknown,9204,23343,4,No,12,3,3,1,7,3,3,4,0,3,1991,Yes,A
1477,33,No,Travel_Rarely,Unknown,7,3,Medical,4,Male,3,2, Sales Executive ,1,Unknown,4373,17456,0,No,14,3,1,2,5,2,3,4,0,3,1990,No,B
1487,29,Yes,Travel_Rarely, Sales ,13,3,Unknown,1,Female,3,2, Sales Executive ,2,Single,6477,17485,5,No,11,3,1,0,7,4,1,5,0,0,1994,No,B
1499,30,No,Travel_Rarely,Unknown,16,3,Life Sciences,3,Male,3,1, Human Resources ,3,Unknown,2064,15428,0,No,21,4,1,1,6,3,4,5,1,3,1993,No,A
1533,23,No,Travel_Rarely, Research & Development ,11,1,Life Sciences,3,Male,3,2, Laboratory Technician ,3,Single,6477,24812,0,No,14,3,2,0,5,2,3,4,1,2,2000,No,A
1545,33,No,Travel_Rarely,Unknown,25,3,Unknown,4,Male,2,2, Manufacturing Director ,2,Unknown,6477,24152,1,No,13,3,4,0,5,2,3,5,0,2,1990,Yes,B
1554,35,No,Travel_Rarely,Unknown,28,4,Unknown,2,Female,2,1, Sales Representative ,3,Married,2430,26204,0,No,23,4,1,2,6,5,3,5,4,2,1988,Yes,A
1563,38,No,Travel_Frequently,Unknown,10,4,Unknown,3,Male,3,2, Human Resources ,3,Unknown,6477,14814,3,No,11,3,3,0,10,2,3,6,1,2,1985,Yes,A
1622,28,No,Travel_Rarely,Unknown,27,3,Unknown,2,Female,1,2, Manufacturing Director ,1,Divorced,4877,20460,0,No,21,4,2,1,6,5,2,5,0,0,1995,Yes,B
1631,37,No,Travel_Rarely,Unknown,19,3,Life Sciences,3,Male,3,2, Manufacturing Director ,3,Unknown,6477,26493,3,No,17,3,1,3,Unknown,2,2,4,0,2,1986,No,A
1646,24,No,Travel_Rarely, Research & Development ,2,1,Technical Degree,1,Female,3,1, Research Scientist ,4,Unknown,3760,17218,1,No,13,3,3,0,6,2,3,6,1,3,1999,No,A
1659,36,No,Travel_Rarely,Unknown,7,3,Unknown,1,Male,3,1, Laboratory Technician ,2,Unknown,2013,10950,2,No,11,3,3,0,Unknown,4,3,4,1,3,1987,Yes,B
1689,53,No,Travel_Rarely,Unknown,24,4,Medical,2,Male,4,3, Healthcare Representative ,4,Married,6477,3458,3,No,15,3,3,0,11,2,3,4,1,2,1970,No,A
1700,37,No,Travel_Frequently,Unknown,1,4,Unknown,3,Male,1,2, Sales Executive ,4,Unknown,6477,7677,1,No,14,3,3,2,6,2,2,6,1,3,1986,Yes,A
1739,32,No,Travel_Rarely,Unknown,19,3,Unknown,4,Male,1,3, Sales Executive ,3,Married,6477,3840,3,No,13,3,3,1,Unknown,2,1,4,0,2,1991,No,A
1768,42,No,Travel_Rarely,Unknown,12,3,Medical,2,Male,3,1, Laboratory Technician ,2,Divorced,2766,8952,8,No,22,4,2,3,7,6,2,5,0,4,1981,Yes,B
1772,41,No,Travel_Rarely,Unknown,9,4,Life Sciences,3,Male,3,1, Laboratory Technician ,1,Divorced,6477,20520,1,No,20,4,2,2,5,2,3,5,0,4,1982,Yes,B
1792,44,Yes,Travel_Rarely,Unknown,1,2,Unknown,3,Male,3,1, Research Scientist ,2,Unknown,6477,11092,1,Yes,12,3,3,3,Unknown,2,2,5,2,3,1979,Yes,B
1800,39,No,Travel_Rarely, Research & Development ,10,1,Medical,3,Male,3,3, Research Director ,3,Single,6477,7914,7,No,21,4,3,0,Unknown,3,3,4,2,2,1984,Yes,A
1822,40,No,Travel_Rarely,Unknown,1,3,Unknown,3,Female,3,2, Healthcare Representative ,4,Unknown,6513,9060,4,No,17,3,4,1,12,3,3,5,0,3,1983,Yes,A
1854,42,No,Travel_Rarely,Unknown,10,4,Technical Degree,3,Male,3,1, Research Scientist ,3,Married,6477,6161,3,No,22,4,2,2,10,1,2,6,3,3,1981,No,A
1882,34,No,Travel_Rarely,Unknown,4,3,Unknown,3,Male,3,3, Sales Executive ,4,Married,6477,24444,2,Yes,13,3,4,3,9,3,3,5,1,0,1989,Yes,A
1885,37,No,Travel_Rarely,Unknown,7,4,Medical,4,Male,3,2, Research Scientist ,1,Unknown,4284,13588,5,No,22,4,3,1,16,2,3,5,0,4,1986,Yes,B
1931,27,No,Travel_Rarely,Unknown,2,4,Technical Degree,2,Male,3,1, Research Scientist ,2,Unknown,2226,6073,1,No,11,3,3,1,6,3,2,5,1,2,1996,No,B
1945,35,No,Travel_Rarely,Unknown,18,4,Unknown,2,Male,3,2, Sales Executive ,1,Unknown,5561,15975,0,No,16,3,4,1,Unknown,2,1,5,0,4,1988,Yes,B
1969,54,No,Travel_Rarely, Research & Development ,9,2,Unknown,1,Female,3,2, Research Scientist ,3,Married,2897,22474,3,No,11,3,3,2,9,6,2,4,2,3,1969,No,A
1981,24,No,Travel_Rarely,Unknown,41,2,Life Sciences,3,Male,2,2, Healthcare Representative ,3,Single,6477,14120,1,No,12,3,2,0,4,2,2,4,1,2,1999,Yes,A
1997,38,No,Travel_Frequently,Unknown,6,4,Unknown,1,Male,2,2, Manufacturing Director ,3,Married,5321,14284,2,No,11,3,4,1,10,1,3,8,7,7,1985,No,A
1998,42,No,Travel_Rarely,Unknown,18,4,Unknown,4,Male,3,2, Research Scientist ,1,Unknown,5410,11189,6,No,17,3,3,1,9,3,2,4,1,2,1981,Yes,B
1999,41,No,Travel_Rarely,Unknown,1,3,Life Sciences,4,Male,3,1, Research Scientist ,4,Unknown,2782,21412,3,No,22,3,1,1,Unknown,3,3,5,1,0,1982,Yes,A
2018,25,No,Travel_Rarely,Unknown,8,2,Unknown,1,Female,3,2, Sales Executive ,3,Unknown,6477,13684,0,Yes,22,4,2,1,6,3,2,5,0,4,1998,Yes,A
2044,50,Yes,Travel_Rarely,Unknown,1,4,Unknown,2,Male,3,2, Sales Executive ,3,Unknown,6477,14255,7,No,12,3,4,2,12,3,3,6,0,1,1973,Yes,A
2046,45,No,Travel_Rarely,Unknown,20,3,Unknown,4,Female,3,2, Sales Executive ,3,Unknown,4850,23333,8,No,15,3,3,0,Unknown,3,3,5,0,1,1978,Yes,A
2052,35,No,Travel_Rarely,Unknown,1,4,Unknown,3,Female,1,1, Research Scientist ,4,Married,6477,8952,1,No,12,3,4,1,4,5,3,4,1,1,1988,Yes,A
2053,29,No,Travel_Rarely,Unknown,13,2,Other,4,Male,2,2, Laboratory Technician ,2,Unknown,6477,23679,4,No,13,3,1,1,10,2,3,4,0,3,1994,No,B
2068,34,No,Travel_Rarely,Unknown,8,3,Unknown,2,Male,4,2, Laboratory Technician ,3,Unknown,4404,10228,2,No,12,3,1,0,Unknown,3,4,4,1,2,1989,Yes,A
7,27,No,Travel_Rarely,Unknown,2,1,Unknown,1,Male,3,1, Laboratory Technician ,2,Married,6477,16632,9,No,12,3,4,1,6,3,3,2,2,2,1996,No,B
16,31,No,Travel_Rarely, Research & Development ,26,1,Unknown,1,Male,3,1, Research Scientist ,3,Divorced,6477,15170,1,No,17,3,4,1,5,1,2,5,4,3,1992,Yes,A
18,34,No,Travel_Rarely,Unknown,38,2,Unknown,2,Male,3,1, Laboratory Technician ,4,Divorced,6477,8758,0,No,11,3,3,1,3,2,3,2,1,2,1989,Yes,A
19,28,Yes,Travel_Rarely, Research & Development ,24,3,Life Sciences,3,Male,2,1, Laboratory Technician ,3,Single,6477,12947,5,Yes,14,3,2,0,6,4,3,4,0,3,1995,Yes,A
21,32,No,Travel_Rarely,Unknown,5,2,Unknown,1,Male,4,1, Research Scientist ,2,Divorced,6477,15053,0,Yes,12,3,4,2,7,5,2,6,0,5,1991,Yes,B
24,38,No,Travel_Rarely, Research & Development ,2,3,Life Sciences,4,Male,3,1, Research Scientist ,4,Single,3944,4306,5,Yes,11,3,3,0,6,3,3,3,1,2,1985,Yes,A
26,24,No,Travel_Rarely,Unknown,11,2,Unknown,1,Female,4,2, Manufacturing Director ,3,Unknown,6477,8232,0,No,18,3,4,1,5,5,2,4,1,3,1999,Yes,A
31,34,Yes,Travel_Rarely,Unknown,6,1,Unknown,2,Male,3,1, Research Scientist ,1,Single,2960,17102,2,No,11,3,3,0,Unknown,2,3,4,1,3,1989,Yes,B
33,32,Yes,Travel_Frequently, Research & Development ,16,1,Unknown,2,Female,1,1, Research Scientist ,1,Unknown,6477,4681,1,No,22,3,2,0,Unknown,5,3,10,6,7,1991,No,B
38,46,No,Travel_Rarely,Unknown,2,4,Marketing,2,Female,3,5, Manager ,1,Single,18947,22822,3,No,12,3,4,0,22,2,2,2,2,1,1977,No,B
